platform,movie_name,genre,imdb_rating,release_year
Netflix,The Circle,Reality TV,6.256798623063683,2021
Netflix,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Documentary,6.256798623063683,2018
Netflix,Kid Cosmic,Kids' TV,6.256798623063683,2021
Netflix,Octonauts: Above & Beyond,British TV Shows,6.256798623063683,2021
Netflix,On the Verge,TV Comedies,6.256798623063683,2021
Netflix,Tobot Galaxy Detectives,Kids' TV,6.256798623063683,2019
Netflix,Untold: Breaking Point,Documentary,6.256798623063683,2021
Netflix,Countdown: Inspiration4 Mission to Space,Docuseries,6.256798623063683,2021
Netflix,Shadow Parties,Drama,6.256798623063683,2020
Netflix,Tayo the Little Bus,Kids' TV,6.256798623063683,2016
Netflix,Angamaly Diaries,Action,8.0,2017
Netflix,Bunk'd,Kids' TV,6.256798623063683,2021
Netflix,A Champion Heart,Kids & Family,5.3,2018
Netflix,Dive Club,Kids' TV,6.256798623063683,2021
Netflix,La casa de papel,Crime TV Shows,6.256798623063683,2021
Netflix,Money Heist: From Tokyo to Berlin,Docuseries,6.256798623063683,2021
Netflix,Sharkdog,Kids' TV,6.256798623063683,2021
Netflix,Worth,Drama,6.256798623063683,2021
Netflix,Afterlife of the Party,Comedy,6.256798623063683,2021
Netflix,Anjaam,Drama,6.256798623063683,1994
Netflix,Bright Star,Drama,6.256798623063683,2009
Netflix,Dhanak,Comedy,6.256798623063683,2015
Netflix,Final Account,Documentary,6.256798623063683,2021
Netflix,Gurgaon,Drama,6.6,2017
Netflix,Here and There,Drama,6.3,2020
Netflix,Heroes of Goo Jit Zu,Kids' TV,6.256798623063683,2021
Netflix,Hotel Del Luna,International TV Shows,6.256798623063683,2019
Netflix,In the Cut,Thriller,6.256798623063683,2003
Netflix,Luv Kushh,Kids' TV,6.256798623063683,2012
Netflix,Pororo - The Little Penguin,Kids' TV,6.256798623063683,2013
Netflix,Q-Force,Crime TV Shows,6.256798623063683,2021
Netflix,Shikara,Drama,6.256798623063683,2020
Netflix,A Cinderella Story,Kids & Family,6.256798623063683,2004
Netflix,Agatha Christie's Crooked House,Drama,6.256798623063683,2017
Netflix,An Unfinished Life,Drama,6.256798623063683,2005
Netflix,Barbie Big City Big Dreams,Kids & Family,6.256798623063683,2021
Netflix,Blade Runner: The Final Cut,Action,6.256798623063683,1982
Netflix,Brave Animated Series,International TV Shows,6.256798623063683,2021
Netflix,Chappie,Action,6.256798623063683,2015
Netflix,Clear and Present Danger,Action,6.256798623063683,1994
Netflix,Cliffhanger,Action,6.256798623063683,1993
